Título,Autor,Ano de publicação,Número de páginas
1984,George Orwell,1949,328
Dom Casmurro,Machado de Assis,1899,256
O Senhor dos Anéis,J.R.R. Tolkien,1954,1178
Cem Anos de Solidão,Gabriel García Márquez,1967,417
Orgulho e Preconceito,Jane Austen,1813,279
Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,223
A Revolução dos Bichos,George Orwell,1945,112
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,96
Memórias Póstumas de Brás Cubas,Machado de Assis,1881,208
O Hobbit,J.R.R. Tolkien,1937,310
